tag,MM,loc_tag,Q1,Q2,Q3,Q4,most_occurrence,RT,Dictyota,BT,C,Caulerpa
D23,December,EB_DEC,Dictyota,Dictyota,Dictyota,Dictyota,Dictyota,0,4,0,0,0
D24,December,EB_DEC,Dictyota,MEH,Dictyota,MEH,Dictyota,0,2,0,2,0
D25,December,EB_DEC,Flesh,Flesh,Flesh,Flesh,Flesh,0,0,0,0,0
D26,December,EB_DEC,BT,Caulerpa,Flesh,Caulerpa,Caulerpa,0,0,1,0,2
D27,December,EB_DEC,Dictyota,GT,Dictyota,Flesh,Dictyota,0,2,0,0,0
D28,December,EB_DEC,POH,Caulerpa,Flesh,Caulerpa,Caulerpa,0,0,0,1,2
D29,December,EB_DEC,R,Dictyota,R,R,R,0,1,0,0,0
D30,December,EB_DEC,MEH,Flesh,MEH,R,MEH,0,0,0,2,0
D31,December,EB_DEC,ABH,Dictyota,MEH,MEH,MEH,0,1,0,3,0
D32,December,EB_DEC,GT,Flesh,R,Caulerpa,,0,0,0,0,1
D33,December,EB_DEC,Dictyota,Caulerpa,Caulerpa,Caulerpa,Caulerpa,0,1,0,0,3
D34,December,EB_DEC,Dictyota,Dictyota,R,POH,Dictyota,0,2,0,1,0
D35,December,EB_DEC,Flesh,Flesh,Dictyota,Flesh,Flesh,0,1,0,0,0
D36,December,EB_DEC,Flesh,Dictyota,Urchin,Dictyota,Dictyota,0,2,0,0,0
D37,December,EB_DEC,Flesh,R,MEH,R,R,0,0,0,1,0
D38,December,EB_DEC,Caulerpa,Caulerpa,R,BT,Caulerpa,0,0,1,0,2
D39,December,EB_DEC,BT,BT,MEH,BT,BT,0,0,3,1,0
D40,December,EB_DEC,BT,Caulerpa,Caulerpa,Caulerpa,Caulerpa,0,0,1,0,3
D41,December,EB_DEC,BT,Flesh,R,ANH,,0,0,1,1,0
D42,December,EB_DEC,POH,Caulerpa,Flesh,Caulerpa,Caulerpa,0,0,0,1,2
D43,December,EB_DEC,ANH,Dictyota,Dictyota,MEH,Dictyota,0,2,0,2,0
D44,December,EB_DEC,R,Flesh,R,Flesh,R,0,0,0,0,0
D45,December,EB_DEC,Dictyota,Flesh,Flesh,Flesh,Flesh,0,1,0,0,0
D46,December,SBE_DEC,BT,BT,Dictyota,Dictyota,BT,0,2,2,0,0
D47,December,SBE_DEC,S,BT,S,BT,S,0,0,2,0,0
D48,December,SBE_DEC,Caulerpa,Caulerpa,Flesh,Flesh,Caulerpa,0,0,0,0,2
D49,December,SBE_DEC,Caulerpa,Caulerpa,BT,Caulerpa,Caulerpa,0,0,1,0,3
D50,December,SBE_DEC,Caulerpa,BT,RT,BT,BT,1,0,2,0,1
D51,December,SBE_DEC,Dictyota,Caulerpa,Caulerpa,Caulerpa,Caulerpa,0,1,0,0,3
D52,December,SBE_DEC,BT,BT,R,R,BT,0,0,2,0,0
D53,December,SBE_DEC,BT,BT,RT,RT,BT,2,0,2,0,0
D54,December,SBE_DEC,Caulerpa,Caulerpa,Caulerpa,Caulerpa,Caulerpa,0,0,0,0,4
D55,December,SBE_DEC,Flesh,ACA,ACA,ACA,ACA,0,0,0,0,0
D56,December,SBE_DEC,BT,BT,Flesh,MEH,BT,0,0,2,1,0
D57,December,SBE_DEC,Dictyota,Flesh,GT,BT,,0,1,1,0,0
D58,December,SBE_DEC,Flesh,Flesh,BT,Flesh,Flesh,0,0,1,0,0
D59,December,SBE_DEC,Flesh,BT,BT,RT,BT,1,0,2,0,0
D60,December,SBE_DEC,R,BT,BT,Flesh,BT,0,0,2,0,0
D61,December,SBE_DEC,Caulerpa,Caulerpa,Caulerpa,Caulerpa,Caulerpa,0,0,0,0,4
D62,December,SBE_DEC,RT,BT,Flesh,Flesh,Flesh,1,0,1,0,0
D63,December,SBE_DEC,Flesh,ABH,BT,Flesh,Flesh,0,0,1,1,0
D64,December,SBE_DEC,Caulerpa,Dictyota,Flesh,Caulerpa,Caulerpa,0,1,0,0,2
D65,December,SBE_DEC,Flesh,MEH,PLH,Flesh,Flesh,0,0,0,2,0
D66,December,SBE_DEC,R,R,R,BT,R,0,0,1,0,0
D67,December,SBE_DEC,Flesh,Flesh,Flesh,Flesh,Flesh,0,0,0,0,0
D68,December,SBE_DEC,BT,Dictyota,BT,MEH,BT,0,1,2,1,0
D69,December,SBE_DEC,Caulerpa,Caulerpa,Caulerpa,Caulerpa,Caulerpa,0,0,0,0,4
D70,December,SBE_DEC,Flesh,BT,Caulerpa,Caulerpa,Caulerpa,0,0,1,0,2
D71,December,SBE_DEC,ABH,Dictyota,Dictyota,MEH,Dictyota,0,2,0,2,0
D72,December,SBE_DEC,Flesh,BT,Dictyota,BT,BT,0,1,2,0,0
D73,December,SBE_DEC,Dictyota,PLH,BT,BT,BT,0,1,2,1,0
D74,December,SBE_DEC,Dictyota,Flesh,Flesh,Flesh,Flesh,0,1,0,0,0
D75,December,SBE_DEC,Flesh,GOH,Flesh,Flesh,Flesh,0,0,0,1,0
D76,December,SBE_DEC,Dictyota,Dictyota,MEH,Dictyota,Dictyota,0,3,0,1,0
D77,December,SBE_DEC,MPH,BT,R,Flesh,,0,0,1,1,0
D78,December,SBE_DEC,MEH,MEH,Dictyota,MEH,MEH,0,1,0,3,0
D79,December,SBE_DEC,Flesh,Flesh,Flesh,Flesh,Flesh,0,0,0,0,0
D80,December,SBE_DEC,Flesh,Flesh,ABH,Dictyota,Flesh,0,1,0,1,0
D81,December,SBE_DEC,MEH,MEH,BT,POH,MEH,0,0,1,3,0
D82,December,SBE_DEC,Flesh,Flesh,Dictyota,Flesh,Flesh,0,1,0,0,0
D83,December,SBE_DEC,Flesh,RT,Dictyota,Flesh,Flesh,1,1,0,0,0
D84,December,SBE_DEC,Flesh,Caulerpa,Flesh,MEH,Flesh,0,0,0,1,1
D85,December,SBE_DEC,POH,BT,Dictyota,Flesh,,0,1,1,1,0
D86,December,SBE_DEC,ABH,Dictyota,Dictyota,Dictyota,Dictyota,0,3,0,1,0
D87,December,SBE_DEC,Flesh,Dictyota,BT,Flesh,Flesh,0,1,1,0,0
D88,December,SBE_DEC,R,R,BT,Flesh,R,0,0,1,0,0
D89,December,SBE_DEC,Flesh,Dictyota,Flesh,Dictyota,Flesh,0,2,0,0,0
D90,December,SBE_DEC,Caulerpa,BT,Caulerpa,BT,Caulerpa,0,0,2,0,2
D91,December,SBE_DEC,BT,Caulerpa,Caulerpa,Caulerpa,Caulerpa,0,0,1,0,3
D92,December,SBE_DEC,BT,Flesh,Caulerpa,Caulerpa,Caulerpa,0,0,1,0,2
D93,December,SBE_DEC,ASCD,Flesh,Flesh,BT,Flesh,0,0,1,0,0
D94,December,SBW_DEC,Flesh,Flesh,Flesh,Flesh,Flesh,0,0,0,0,0
D95,December,SBW_DEC,Dictyota,MEH,MEH,MEH,MEH,0,1,0,3,0
D96,December,SBW_DEC,Flesh,ANH,Flesh,Flesh,Flesh,0,0,0,1,0
D97,December,SBW_DEC,Flesh,BT,Dictyota,Dictyota,Dictyota,0,2,1,0,0
D98,December,SBW_DEC,Caulerpa,Fol,Flesh,R,,0,0,0,0,1
D99,December,SBW_DEC,R,MPH,POH,R,R,0,0,0,2,0
D100,December,SBW_DEC,BT,Flesh,R,R,R,0,0,1,0,0
D101,December,SBW_DEC,Dictyota,Dictyota,Dictyota,Flesh,Dictyota,0,3,0,0,0
D102,December,SBW_DEC,Flesh,Caulerpa,Flesh,Caulerpa,Flesh,0,0,0,0,2
D103,December,SBW_DEC,R,RT,OBBH,Flesh,,1,0,0,1,0
D104,December,SBW_DEC,Dictyota,BT,Flesh,BT,BT,0,1,2,0,0
D105,December,SBW_DEC,POH,BT,BT,BT,BT,0,0,3,1,0
D106,December,SBW_DEC,Flesh,Flesh,PLH,Flesh,Flesh,0,0,0,1,0
D107,December,SBW_DEC,BT,Dictyota,Flesh,ASCD,,0,1,1,0,0
D108,December,SBW_DEC,PLH,BT,Flesh,Flesh,Flesh,0,0,1,1,0
D109,December,SBW_DEC,Dictyota,Dictyota,Dictyota,Dictyota,Dictyota,0,4,0,0,0
D110,December,SBW_DEC,Caulerpa,Flesh,Flesh,ANH,Flesh,0,0,0,1,1
D111,December,SBW_DEC,Flesh,Dictyota,Dictyota,MEH,Dictyota,0,2,0,1,0
D112,December,SBW_DEC,Caulerpa,Caulerpa,Caulerpa,Flesh,Caulerpa,0,0,0,0,3
D113,December,SBW_DEC,Dictyota,Dictyota,Dictyota,Dictyota,Dictyota,0,4,0,0,0
D114,December,SBW_DEC,Dictyota,Dictyota,BT,Caulerpa,Dictyota,0,2,1,0,1
D115,December,SBW_DEC,BT,GOH,BT,Dictyota,BT,0,1,2,1,0
D116,December,SBW_DEC,Caulerpa,Flesh,BT,ANH,,0,0,1,1,1
D117,December,SBW_DEC,Caulerpa,OBBH,Flesh,ANH,,0,0,0,2,1
D118,December,SBW_DEC,MEH,Dictyota,OBBH,Flesh,,0,1,0,2,0
D119,December,SBW_DEC,Dictyota,Flesh,Dictyota,S,Dictyota,0,2,0,0,0
D120,December,SBW_DEC,Dictyota,BT,Flesh,BT,BT,0,1,2,0,0
D121,December,SBW_DEC,Flesh,Dictyota,Dictyota,Dictyota,Dictyota,0,3,0,0,0
D122,December,SBW_DEC,MEH,MEH,BT,MEH,MEH,0,0,1,3,0
D123,December,SBW_DEC,BT,BT,BT,BT,BT,0,0,4,0,0
D124,December,SBW_DEC,R,OBBH,BT,Flesh,,0,0,1,1,0
D125,December,SBW_DEC,Dictyota,Dictyota,Dictyota,Dictyota,Dictyota,0,4,0,0,0
D126,December,SBW_DEC,Dictyota,Flesh,Dictyota,MEH,Dictyota,0,2,0,1,0
D127,December,SBW_DEC,BT,BT,BT,BT,BT,0,0,4,0,0
D128,December,SBW_DEC,S,BT,S,Flesh,S,0,0,1,0,0
D129,December,SBW_DEC,Flesh,Caulerpa,BT,BT,BT,0,0,2,0,1
D130,December,SBW_DEC,BT,BT,BT,BT,BT,0,0,4,0,0
D131,December,SBW_DEC,BT,BT,BT,BT,BT,0,0,4,0,0
D132,December,SBW_DEC,BT,BT,RT,S,BT,1,0,2,0,0
D133,December,SBW_DEC,Flesh,MEH,MEH,Flesh,Flesh,0,0,0,2,0
D134,December,SBW_DEC,BT,BT,BT,Flesh,BT,0,0,3,0,0
D135,December,SBW_DEC,Flesh,Flesh,MEH,MEH,Flesh,0,0,0,2,0
D136,December,SBW_DEC,Caulerpa,MPH,Caulerpa,Dictyota,Caulerpa,0,1,0,1,2
D137,December,SBW_DEC,BT,Flesh,BT,Flesh,BT,0,0,2,0,0
D138,December,SBW_DEC,Flesh,Flesh,Flesh,Flesh,Flesh,0,0,0,0,0
D139,December,SBW_DEC,S,RT,OBBH,Dictyota,,1,1,0,1,0
D140,December,SBW_DEC,RT,Dictyota,RT,Dictyota,RT,2,2,0,0,0
D141,December,SBW_DEC,Flesh,Flesh,Flesh,Flesh,Flesh,0,0,0,0,0
D142,December,SBW_DEC,BT,BT,Flesh,Flesh,BT,0,0,2,0,0
D143,December,SBW_DEC,BT,BT,RT,BT,BT,1,0,3,0,0
D144,December,SBW_DEC,Flesh,Dictyota,Flesh,S,Flesh,0,1,0,0,0
D145,December,SBW_DEC,BT,BT,Flesh,BT,BT,0,0,3,0,0
D146,December,SBW_DEC,PLH,Flesh,BT,R,,0,0,1,1,0
D147,December,SBW_DEC,Flesh,Caulerpa,Flesh,Flesh,Flesh,0,0,0,0,1
D148,December,SBE_DEC,Dictyota,MEH,Dictyota,Dictyota,Dictyota,0,3,0,1,0
D149,December,SBE_DEC,BT,BT,BT,Dictyota,BT,0,1,3,0,0
D150,December,SBE_DEC,Caulerpa,Caulerpa,Caulerpa,Caulerpa,Caulerpa,0,0,0,0,4
D151,December,SBE_DEC,Flesh,BT,Caulerpa,Caulerpa,Caulerpa,0,0,1,0,2
D152,December,SBE_DEC,Caulerpa,Flesh,Caulerpa,Flesh,Caulerpa,0,0,0,0,2
D153,December,SBE_DEC,BT,BT,BT,BT,BT,0,0,4,0,0
D154,December,SBE_DEC,Caulerpa,Caulerpa,Caulerpa,Caulerpa,Caulerpa,0,0,0,0,4
D155,December,SBE_DEC,ABH,Dictyota,ABH,Dictyota,ABH,0,2,0,2,0
D156,December,SBE_DEC,BT,BT,BT,BT,BT,0,0,4,0,0
D157,December,SBE_DEC,BT,Dictyota,BT,Dictyota,BT,0,2,2,0,0
D158,December,SBE_DEC,MEH,GT,BT,BT,BT,0,0,2,1,0
D159,December,SBE_DEC,Flesh,MEH,BT,MEH,MEH,0,0,1,2,0
D160,December,SBE_DEC,BT,Flesh,MEH,Flesh,Flesh,0,0,1,1,0
D161,December,SBE_DEC,BT,BT,MEH,Dictyota,BT,0,1,2,1,0
D162,December,SBE_DEC,BT,POH,Flesh,BT,BT,0,0,2,1,0
D163,December,SBE_DEC,BT,Flesh,Flesh,Flesh,Flesh,0,0,1,0,0
D164,December,EB_DEC,MEH,MEH,OBBH,MEH,MEH,0,0,0,4,0
D165,December,EB_DEC,Dictyota,Dictyota,R,R,Dictyota,0,2,0,0,0
D166,December,EB_DEC,MEH,OBBH,MEH,MEH,MEH,0,0,0,4,0
D167,December,EB_DEC,Dictyota,Dictyota,Dictyota,Dictyota,Dictyota,0,4,0,0,0
D168,December,EB_DEC,Flesh,Flesh,BT,BT,Flesh,0,0,2,0,0
D169,December,EB_DEC,Dictyota,GT,Dictyota,Dictyota,Dictyota,0,3,0,0,0
D170,December,EB_DEC,MEH,GT,MEH,MEH,MEH,0,0,0,3,0
D171,December,EB_DEC,GT,GT,Caulerpa,Dictyota,GT,0,1,0,0,1
D172,December,EB_DEC,GT,GT,Flesh,GT,GT,0,0,0,0,0
D173,December,EB_DEC,Caulerpa,Caulerpa,Dictyota,GT,Caulerpa,0,1,0,0,2
D174,December,EB_DEC,S,RT,Caulerpa,BT,,1,0,1,0,1
D175,December,SBW_DEC,BT,OBBH,BT,BT,BT,0,0,3,1,0
D176,December,SBW_DEC,BT,Flesh,BT,BT,BT,0,0,3,0,0
D177,December,SBW_DEC,BT,BT,Flesh,Flesh,BT,0,0,2,0,0
D178,December,SBW_DEC,GT,BT,BT,R,BT,0,0,2,0,0
D179,December,SBW_DEC,Flesh,Flesh,Flesh,MEH,Flesh,0,0,0,1,0
D180,December,SBW_DEC,POH,Flesh,BT,Flesh,Flesh,0,0,1,1,0
D181,December,SBW_DEC,BT,BT,Flesh,Dictyota,BT,0,1,2,0,0
D182,December,SBW_DEC,BT,PLH,BT,GT,BT,0,0,2,1,0
D183,December,SBW_DEC,Flesh,BT,Flesh,Flesh,Flesh,0,0,1,0,0
D184,December,SBW_DEC,Flesh,Flesh,Flesh,Flesh,Flesh,0,0,0,0,0
D185,December,SBW_DEC,BT,BT,BT,Flesh,BT,0,0,3,0,0
D186,December,SBW_DEC,BT,POH,POH,BT,BT,0,0,2,2,0
D187,December,SBW_DEC,BT,BT,Flesh,Flesh,BT,0,0,2,0,0
D188,December,SBW_DEC,Flesh,Flesh,BT,BT,Flesh,0,0,2,0,0
D189,December,SBW_DEC,S,Dictyota,Dictyota,Dictyota,Dictyota,0,3,0,0,0
D190,December,SBW_DEC,BT,Flesh,BT,Flesh,BT,0,0,2,0,0
D191,December,SBW_DEC,BT,BT,ANH,Flesh,BT,0,0,2,1,0
D192,December,SBW_DEC,BT,Flesh,POH,Flesh,Flesh,0,0,1,1,0
D193,December,SBW_DEC,Flesh,PLH,Flesh,OBBH,Flesh,0,0,0,2,0
D194,December,SBW_DEC,R,Flesh,Flesh,Flesh,Flesh,0,0,0,0,0
D195,December,SBW_DEC,GT,Flesh,Caulerpa,BT,,0,0,1,0,1
D196,December,SBW_DEC,Flesh,RT,S,BT,,1,0,1,0,0
D197,December,SBW_DEC,BT,BT,BT,BT,BT,0,0,4,0,0
D198,December,SBW_DEC,BT,BT,GOH,BT,BT,0,0,3,1,0
D199,December,SBW_DEC,BT,BT,BT,BT,BT,0,0,4,0,0
D200,December,SBW_DEC,GOH,BT,PLH,BT,BT,0,0,2,2,0
D201,December,SBW_DEC,PLH,GT,Flesh,BT,,0,0,1,1,0
D202,December,SBW_DEC,Dictyota,BT,Caulerpa,Flesh,,0,1,1,0,1
D203,December,SBW_DEC,Flesh,BT,BT,OBBH,BT,0,0,2,1,0
D204,December,SBW_DEC,Dictyota,Dictyota,BT,Dictyota,Dictyota,0,3,1,0,0
D205,December,SBW_DEC,BT,BT,BT,BT,BT,0,0,4,0,0
D206,December,SBW_DEC,Dictyota,Dictyota,BT,Dictyota,Dictyota,0,3,1,0,0
D207,December,SBW_DEC,Caulerpa,Caulerpa,Caulerpa,Caulerpa,Caulerpa,0,0,0,0,4
D208,December,SBW_DEC,Caulerpa,Caulerpa,Caulerpa,Caulerpa,Caulerpa,0,0,0,0,4
D209,December,SBW_DEC,Flesh,Flesh,Flesh,Flesh,Flesh,0,0,0,0,0
D210,December,SBW_DEC,OBBH,Flesh,Flesh,Flesh,Flesh,0,0,0,1,0
D211,December,SBW_DEC,R,Flesh,Flesh,Flesh,Flesh,0,0,0,0,0
D212,December,SBW_DEC,Flesh,Flesh,Flesh,RT,Flesh,1,0,0,0,0
D213,December,SBW_DEC,Flesh,OBBH,Flesh,Flesh,Flesh,0,0,0,1,0
D214,December,SBW_DEC,BT,BT,BT,BT,BT,0,0,4,0,0
D215,December,SBW_DEC,R,BT,Flesh,Flesh,Flesh,0,0,1,0,0
D216,December,SBW_DEC,Flesh,Flesh,Flesh,Flesh,Flesh,0,0,0,0,0
D217,December,SBW_DEC,Flesh,Flesh,OBBH,Flesh,Flesh,0,0,0,1,0
D218,December,SBW_DEC,Flesh,BT,Flesh,BT,Flesh,0,0,2,0,0
D219,December,SBW_DEC,BT,bT,BT,BT,BT,0,0,4,0,0
D220,December,SBW_DEC,PLH,BT,BT,R,BT,0,0,2,1,0
D221,December,SBW_DEC,BT,BT,R,R,BT,0,0,2,0,0
D222,December,CB_DEC,Dictyota,Dictyota,Flesh,Flesh,Dictyota,0,2,0,0,0
D223,December,CB_DEC,BT,Caulerpa,Flesh,POH,,0,0,1,1,1
D224,December,CB_DEC,Caulerpa,Caulerpa,Caulerpa,Caulerpa,Caulerpa,0,0,0,0,4
D225,December,CB_DEC,Flesh,Caulerpa,Caulerpa,Caulerpa,Caulerpa,0,0,0,0,3
D226,December,CB_DEC,Caulerpa,Caulerpa,Caulerpa,ABH,Caulerpa,0,0,0,1,3
D227,December,CB_DEC,Caulerpa,Caulerpa,ABH,Caulerpa,Caulerpa,0,0,0,1,3
D228,December,CB_DEC,PLH,Dictyota,Caulerpa,Flesh,,0,1,0,1,1
D229,December,CB_DEC,Flesh,Dictyota,MEH,MEH,MEH,0,1,0,2,0
D230,December,CB_DEC,Caulerpa,Caulerpa,Caulerpa,Caulerpa,Caulerpa,0,0,0,0,4
D231,December,CB_DEC,ABH,ABH,ANH,ABH,ABH,0,0,0,4,0
D232,December,CB_DEC,Dictyota,Caulerpa,Caulerpa,Caulerpa,Caulerpa,0,1,0,0,3
D233,December,CB_DEC,Caulerpa,Flesh,Caulerpa,Flesh,Caulerpa,0,0,0,0,2
D234,December,CB_DEC,Flesh,Flesh,Dictyota,Dictyota,Flesh,0,2,0,0,0
D235,December,CB_DEC,Caulerpa,Caulerpa,Caulerpa,Caulerpa,Caulerpa,0,0,0,0,4
D236,December,CB_DEC,Flesh,Caulerpa,Flesh,Dictyota,Flesh,0,1,0,0,1
D237,December,CB_DEC,Dictyota,Caulerpa,Caulerpa,Caulerpa,Caulerpa,0,1,0,0,3
D238,December,CB_DEC,Flesh,R,Flesh,Flesh,Flesh,0,0,0,0,0
D239,December,CB_DEC,Caulerpa,Caulerpa,R,Caulerpa,Caulerpa,0,0,0,0,3
D240,December,CB_DEC,Caulerpa,Caulerpa,Caulerpa,R,Caulerpa,0,0,0,0,3
D241,December,CB_DEC,Caulerpa,Caulerpa,Caulerpa,Caulerpa,Caulerpa,0,0,0,0,4
D242,December,CB_DEC,Caulerpa,Caulerpa,GOH,Caulerpa,Caulerpa,0,0,0,1,3
D243,December,CB_DEC,Rock,Flesh,Flesh,Flesh,Flesh,0,0,0,0,0
D244,December,CB_DEC,Flesh,Caulerpa,Flesh,Flesh,Flesh,0,0,0,0,1
D245,December,CB_DEC,Caulerpa,Caulerpa,Caulerpa,GOH,Caulerpa,0,0,0,1,3
D246,December,CB_DEC,MEH,Dictyota,MEH,MEH,MEH,0,1,0,3,0
D247,December,CB_DEC,Caulerpa,Caulerpa,Caulerpa,Caulerpa,Caulerpa,0,0,0,0,4
D248,December,CB_DEC,Caulerpa,R,Caulerpa,Dictyota,Caulerpa,0,1,0,0,2
D249,December,CB_DEC,R,R,R,MEH,R,0,0,0,1,0
D250,December,CB_DEC,R,MEH,R,R,R,0,0,0,1,0
D251,December,CB_DEC,R,MEH,MEH,MEH,MEH,0,0,0,3,0
D252,December,CB_DEC,Flesh,ACA,Flesh,MEH,Flesh,0,0,0,1,0
D253,December,CB_DEC,ANH,Caulerpa,Flesh,ABH,,0,0,0,2,1
D254,December,CB_DEC,Caulerpa,ABH,ABH,ABH,ABH,0,0,0,3,1
D255,December,CB_DEC,ABH,ABH,Caulerpa,Caulerpa,ABH,0,0,0,2,2
D256,December,CB_DEC,R,R,R,ABH,R,0,0,0,1,0
D257,December,CB_DEC,Flesh,OBBH,Flesh,Flesh,Flesh,0,0,0,1,0
D258,December,CB_DEC,Caulerpa,Flesh,R,R,R,0,0,0,0,1
D259,December,CB_DEC,ANH,ANH,R,R,ANH,0,0,0,2,0
D260,December,CB_DEC,Flesh,Flesh,Dictyota,Flesh,Flesh,0,1,0,0,0
D261,December,CB_DEC,Flesh,Caulerpa,Caulerpa,Caulerpa,Caulerpa,0,0,0,0,3
D262,December,CB_DEC,Dictyota,Dictyota,ACA,Caulerpa,Dictyota,0,2,0,0,1
D263,December,CB_DEC,MEH,MEH,Caulerpa,Caulerpa,MEH,0,0,0,2,2
D264,December,CB_DEC,Flesh,Caulerpa,Caulerpa,OBBH,Caulerpa,0,0,0,1,2
D265,December,CB_DEC,POH,Caulerpa,POH,PLH,POH,0,0,0,3,1
D266,December,CB_DEC,Caulerpa,Flesh,ANH,ANH,ANH,0,0,0,2,1
D267,December,CB_DEC,Caulerpa,Flesh,Caulerpa,Flesh,Caulerpa,0,0,0,0,2
D268,December,CB_DEC,MEH,Flesh,R,MEH,MEH,0,0,0,2,0
D269,December,CB_DEC,MEH,MEH,Flesh,MEH,MEH,0,0,0,3,0
D270,December,CB_DEC,MEH,MEH,ACA,MEH,MEH,0,0,0,3,0
D271,December,CB_DEC,Flesh,MPH,Caulerpa,Flesh,Flesh,0,0,0,1,1
D272,December,CB_DEC,Flesh,Flesh,GOH,ACA,Flesh,0,0,0,1,0
D273,December,CB_DEC,BT,MEH,Flesh,Flesh,Flesh,0,0,1,1,0
D274,December,CB_DEC,Caulerpa,Caulerpa,Caulerpa,Caulerpa,Caulerpa,0,0,0,0,4
D275,December,CB_DEC,Caulerpa,Caulerpa,ACA,Caulerpa,Caulerpa,0,0,0,0,3
D276,December,CB_DEC,Flesh,Caulerpa,R,Caulerpa,Caulerpa,0,0,0,0,2
D277,December,CB_DEC,POH,MEH,OBBH,OBBH,OBBH,0,0,0,4,0
D278,December,CB_DEC,Flesh,Flesh,Dictyota,GOH,Flesh,0,1,0,1,0
D279,December,CB_DEC,Flesh,Flesh,Caulerpa,Caulerpa,Flesh,0,0,0,0,2
D280,December,CB_DEC,Flesh,Flesh,Flesh,Flesh,Flesh,0,0,0,0,0
D281,December,CB_DEC,GOH,Flesh,Flesh,soft,Flesh,0,0,0,1,0
D282,December,CB_DEC,MEH,Flesh,Flesh,Caulerpa,Flesh,0,0,0,1,1
D283,December,CB_DEC,Flesh,Flesh,Flesh,Flesh,Flesh,0,0,0,0,0
D284,December,CB_DEC,Flesh,Flesh,Flesh,Urchin,Flesh,0,0,0,0,0
D285,December,CB_DEC,Caulerpa,R,R,R,R,0,0,0,0,1
D286,December,CB_DEC,MEH,ACA,Dictyota,Flesh,,0,1,0,1,0
D287,December,CB_DEC,ACA,ACA,Flesh,Flesh,ACA,0,0,0,0,0
D288,December,CB_DEC,Flesh,Flesh,Caulerpa,Flesh,Flesh,0,0,0,0,1
D289,December,CB_DEC,ACA,Flesh,Caulerpa,Caulerpa,Caulerpa,0,0,0,0,2
D290,December,CB_DEC,Caulerpa,Flesh,Caulerpa,Caulerpa,Caulerpa,0,0,0,0,3
D291,December,CB_DEC,Flesh,OBBH,Caulerpa,ACA,,0,0,0,1,1
D292,December,CB_DEC,Flesh,MEH,Dictyota,MEH,MEH,0,1,0,2,0
D293,December,CB_DEC,Caulerpa,Flesh,Flesh,Flesh,Flesh,0,0,0,0,1
D294,December,CB_DEC,Flesh,Flesh,Flesh,OBBH,Flesh,0,0,0,1,0
D295,December,CB_DEC,Flesh,Flesh,Dictyota,PLH,Flesh,0,1,0,1,0
D296,December,CB_DEC,Dictyota,MEH,Dictyota,MEH,Dictyota,0,2,0,2,0
D297,December,CB_DEC,S,ANH,Flesh,Flesh,Flesh,0,0,0,1,0
D298,December,CB_DEC,Flesh,Flesh,Flesh,Flesh,Flesh,0,0,0,0,0
D299,December,CB_DEC,Flesh,S,Flesh,R,Flesh,0,0,0,0,0
D300,December,CB_DEC,ACA,Dictyota,ACA,Flesh,ACA,0,1,0,0,0
D301,December,CB_DEC,Flesh,ACA,Flesh,MEH,Flesh,0,0,0,1,0
D302,December,CB_DEC,Flesh,PLH,Caulerpa,Caulerpa,Caulerpa,0,0,0,1,2
D303,December,CB_DEC,ACA,Dictyota,MEH,Fol,,0,1,0,1,0
D304,December,CB_DEC,MEH,MEH,MEH,Flesh,MEH,0,0,0,3,0
D305,December,CB_DEC,Flesh,Flesh,Flesh,RT,Flesh,1,0,0,0,0
D306,December,CB_DEC,Flesh,Caulerpa,Dictyota,Dictyota,Dictyota,0,2,0,0,1
